LNEC Test File eXtractor

File: laquilaReducedScale_4.acq

Created in: 2026-02-25 21:33:49.112268

Number of channels: 7

Name:	PosA1T	PosA2L	PosA3V	accT	accL	accV	SV2
Type:							
Unit:	m	m	m	m/s^2	m/s^2	m/s^2	bits
No. of Samples:	8982	8982	8982	8982	8982	8982	8982
Time step [s]:	0.005	0.005	0.005	0.005	0.005	0.005	0.005
Trigger date:	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01
Trigger time:	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000
Duration [s]:	44.905	44.905	44.905	44.905	44.905	44.905	44.905
Data:
PosA1T	PosA2L	PosA3V	accT	accL	accV	SV2
-1.8636649246216104e-05	nan	0.0	nan	nan	0.0	-944.890823364258
-1.9589827880859656e-05	nan	0.0	nan	nan	0.0	-2309.7580718994145
-1.715392692565946e-05	nan	0.0	nan	nan	0.0	-2309.7580718994145
-1.3235303649902627e-05	nan	0.0	nan	nan	0.0	-2174.943466186524
-7.410323104858681e-06	nan	0.0	nan	nan	0.0	-2385.0034332275395
-5.0803308868411045e-06	nan	0.0	nan	nan	0.0	-1935.0988769531252
-2.114886245727823e-06	nan	0.0	nan	nan	0.0	-2369.8498535156255
-2.6444299316409086e-06	nan	0.0	nan	nan	0.0	-1514.978942871094
-3.0680648803713773e-06	nan	0.0	nan	nan	0.0	-1709.8853302001955
-3.0680648803713773e-06	nan	0.0	nan	nan	0.0	-2519.81803894043
7.446496582028412e-07	nan	0.0	nan	nan	0.0	-1470.040740966797
3.1805506134030365e-06	nan	0.0	nan	nan	0.0	-1754.8235321044924
3.1805506134030365e-06	nan	0.0	nan	nan	0.0	-1740.1924896240237
2.2273719787594818e-06	nan	0.0	nan	nan	0.0	-2505.1869964599614
3.210147094723725e-07	nan	0.0	nan	nan	0.0	-2219.8816680908208
1.274193344115927e-06	nan	0.0	nan	nan	0.0	-1769.9771118164065
2.2273719787594818e-06	nan	0.0	nan	nan	0.0	-1769.9771118164065
2.7569156646725678e-06	nan	0.0	nan	nan	0.0	-1875.0070953369143
5.192816619872763e-06	nan	0.0	nan	nan	0.0	-1499.82536315918
5.192816619872763e-06	nan	0.0	nan	nan	0.0	-1304.9189758300784
5.192816619872763e-06	nan	0.0	nan	nan	0.0	-1289.7653961181643
5.192816619872763e-06	nan	0.0	nan	nan	0.0	-1830.0688934326174
4.133729248046591e-06	nan	0.0	nan	nan	0.0	-1725.0389099121096
4.133729248046591e-06	nan	0.0	nan	nan	0.0	-1785.1306915283205
4.663272933959676e-06	nan	0.0	nan	nan	0.0	-1590.224304199219
6.1459952545163174e-06	nan	0.0	nan	nan	0.0	-2114.851684570313
8.581896209716512e-06	nan	0.0	nan	nan	0.0	-2309.7580718994145
7.099173889159872e-06	nan	0.0	nan	nan	0.0	-1320.0725555419924
5.192816619872763e-06	nan	0.0	nan	nan	0.0	-1935.0988769531252
2.7569156646725678e-06	nan	0.0	nan	nan	0.0	-1919.9452972412112
3.7100942993161225e-06	nan	0.0	nan	nan	0.0	-1769.9771118164065
3.1805506134030365e-06	nan	0.0	nan	nan	0.0	-1995.1906585693362
5.192816619872763e-06	nan	0.0	nan	nan	0.0	-1485.1943206787112
7.099173889159872e-06	nan	0.0	nan	nan	0.0	-1440.2561187744143
5.192816619872763e-06	nan	0.0	nan	nan	0.0	-1559.9171447753909
