LNEC Test File eXtractor

File: tune_cutoff_10Hz.acq

Created in: 2026-02-25 18:46:47.588315

Number of channels: 7

Name:	PosA1T	PosA2L	PosA3V	accT	accL	accV	SV2
Type:							
Unit:	m	m	m	m/s^2	m/s^2	m/s^2	bits
No. of Samples:	8982	8982	8982	8982	8982	8982	8982
Time step [s]:	0.005	0.005	0.005	0.005	0.005	0.005	0.005
Trigger date:	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01
Trigger time:	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000
Duration [s]:	44.905	44.905	44.905	44.905	44.905	44.905	44.905
Data:
PosA1T	PosA2L	PosA3V	accT	accL	accV	SV2
1.2511111450191674e-06	nan	0.0	nan	nan	0.0	-1403.3309301305565
-6.982727050784891e-07	nan	0.0	nan	nan	0.0	-1829.1657231822612
-1.6729646301273174e-06	nan	0.0	nan	nan	0.0	-1688.9392537996175
-1.5677719116247345e-07	nan	0.0	nan	nan	0.0	-1324.9690795931967
8.179147338863548e-07	nan	0.0	nan	nan	0.0	-1514.6872440520676
1.792606658935183e-06	nan	0.0	nan	nan	0.0	-1359.5101584484803
8.179147338863548e-07	nan	0.0	nan	nan	0.0	-1628.6212504254656
-6.982727050784891e-07	nan	0.0	nan	nan	0.0	-1606.4530953392389
-2.10616104126013e-06	nan	0.0	nan	nan	0.0	-1420.859238803387
-1.6729646301273174e-06	nan	0.0	nan	nan	0.0	-1275.4773845169696
-6.982727050784891e-07	nan	0.0	nan	nan	0.0	-1735.8532564239579
2.7641921997033914e-07	nan	0.0	nan	nan	0.0	-1296.0989241320642
1.2511111450191674e-06	nan	0.0	nan	nan	0.0	-1555.930323282257
-6.982727050784891e-07	nan	0.0	nan	nan	0.0	-1541.4952455516907
-1.5677719116247345e-07	nan	0.0	nan	nan	0.0	-1779.674028106034
2.7641921997033914e-07	nan	0.0	nan	nan	0.0	-1470.350933879614
-1.5677719116247345e-07	nan	0.0	nan	nan	0.0	-1456.4313946394252
-1.5677719116247345e-07	nan	0.0	nan	nan	0.0	-1288.881385266781
-1.1314691162113016e-06	nan	0.0	nan	nan	0.0	-1357.9635429773482
-1.5677719116247345e-07	nan	0.0	nan	nan	0.0	-1561.0857081860306
-6.982727050784891e-07	nan	0.0	nan	nan	0.0	-1288.881385266781
-1.5677719116247345e-07	nan	0.0	nan	nan	0.0	-1518.8115519750866
1.2511111450191674e-06	nan	0.0	nan	nan	0.0	-1517.7804749943318
-1.5677719116247345e-07	nan	0.0	nan	nan	0.0	-1459.009087091312
2.7641921997033914e-07	nan	0.0	nan	nan	0.0	-1323.938002612442
1.2511111450191674e-06	nan	0.0	nan	nan	0.0	-1420.3437003130095
2.7641921997033914e-07	nan	0.0	nan	nan	0.0	-1521.9047829173508
-6.982727050784891e-07	nan	0.0	nan	nan	0.0	-1667.2866372037681
-1.5677719116247345e-07	nan	0.0	nan	nan	0.0	-1366.7276973137634
-1.5677719116247345e-07	nan	0.0	nan	nan	0.0	-1423.4369312552737
8.179147338863548e-07	nan	0.0	nan	nan	0.0	-1412.0950844669717
2.7641921997033914e-07	nan	0.0	nan	nan	0.0	-1215.1593811428177
-1.1314691162113016e-06	nan	0.0	nan	nan	0.0	-1584.284940253012
