LNEC Test File eXtractor

File: wc_10Hz_0.acq

Created in: 2026-02-25 10:48:51.978204

Number of channels: 7

Name:	PosA1T	PosA2L	PosA3V	accT	accL	accV	SV2
Type:							
Unit:	m	m	m	m/s^2	m/s^2	m/s^2	bits
No. of Samples:	32768	32768	32768	32768	32768	32768	32768
Time step [s]:	0.005	0.005	0.005	0.005	0.005	0.005	0.005
Trigger date:	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01
Trigger time:	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000
Duration [s]:	163.835	163.835	163.835	163.835	163.835	163.835	163.835
Data:
PosA1T	PosA2L	PosA3V	accT	accL	accV	SV2
2.652000427244781e-07	nan	0.0	nan	nan	0.0	-764.4883270263672
2.652000427244781e-07	nan	0.0	nan	nan	0.0	-975.485107421875
-6.397864532472017e-07	nan	0.0	nan	nan	0.0	-1450.4778594970703
-1.133415451049936e-06	nan	0.0	nan	nan	0.0	-1068.4836883544922
-1.461574554444672e-07	nan	0.0	nan	nan	0.0	-835.4872436523438
2.652000427244781e-07	nan	0.0	nan	nan	0.0	-856.4869232177734
-6.397864532472017e-07	nan	0.0	nan	nan	0.0	-829.4873352050781
-1.133415451049936e-06	nan	0.0	nan	nan	0.0	-1125.4828186035156
-1.461574554444672e-07	nan	0.0	nan	nan	0.0	-1071.483642578125
7.588290405272125e-07	nan	0.0	nan	nan	0.0	-948.4855194091797
2.7333450317381504e-06	nan	0.0	nan	nan	0.0	-986.4849395751953
1.2524580383299468e-06	nan	0.0	nan	nan	0.0	-903.4862060546875
2.652000427244781e-07	nan	0.0	nan	nan	0.0	-1119.48291015625
1.2524580383299468e-06	nan	0.0	nan	nan	0.0	-942.4856109619141
1.2524580383299468e-06	nan	0.0	nan	nan	0.0	-954.4854278564453
-1.461574554444672e-07	nan	0.0	nan	nan	0.0	-719.489013671875
-6.397864532472017e-07	nan	0.0	nan	nan	0.0	-802.4877471923828
7.588290405272125e-07	nan	0.0	nan	nan	0.0	-846.4870758056641
1.2524580383299468e-06	nan	0.0	nan	nan	0.0	-1077.4835510253906
1.2524580383299468e-06	nan	0.0	nan	nan	0.0	-1284.4803924560547
-6.397864532472017e-07	nan	0.0	nan	nan	0.0	-879.486572265625
1.2524580383299468e-06	nan	0.0	nan	nan	0.0	-928.4858245849609
-1.461574554444672e-07	nan	0.0	nan	nan	0.0	-1003.4846801757812
-6.397864532472017e-07	nan	0.0	nan	nan	0.0	-1153.4823913574219
-1.133415451049936e-06	nan	0.0	nan	nan	0.0	-1432.4781341552734
-2.120673446655405e-06	nan	0.0	nan	nan	0.0	-1270.4806060791016
-3.1079314422608733e-06	nan	0.0	nan	nan	0.0	-1130.4827423095703
-3.601560440063608e-06	nan	0.0	nan	nan	0.0	-1031.4842529296875
-6.397864532472017e-07	nan	0.0	nan	nan	0.0	-1208.4815521240234
7.588290405272125e-07	nan	0.0	nan	nan	0.0	-1126.4828033447266
1.2524580383299468e-06	nan	0.0	nan	nan	0.0	-1246.480972290039
7.588290405272125e-07	nan	0.0	nan	nan	0.0	-858.4868927001953
2.652000427244781e-07	nan	0.0	nan	nan	0.0	-1056.483871459961
-1.461574554444672e-07	nan	0.0	nan	nan	0.0	-904.4861907958984
7.588290405272125e-07	nan	0.0	nan	nan	0.0	-1059.4838256835938
2.652000427244781e-07	nan	0.0	nan	nan	0.0	-1049.4839782714844
-1.133415451049936e-06	nan	0.0	nan	nan	0.0	-963.4852905273438
-1.133415451049936e-06	nan	0.0	nan	nan	0.0	-1061.4837951660156
-1.461574554444672e-07	nan	0.0	nan	nan	0.0	-1018.4844512939453
-6.397864532472017e-07	nan	0.0	nan	nan	0.0	-990.4848785400391
-1.6270444488526703e-06	nan	0.0	nan	nan	0.0	-846.4870758056641
-2.120673446655405e-06	nan	0.0	nan	nan	0.0	-1174.4820709228516
-1.133415451049936e-06	nan	0.0	nan	nan	0.0	-1271.4805908203125
-1.6270444488526703e-06	nan	0.0	nan	nan	0.0	-1039.484130859375
-2.614302444458139e-06	nan	0.0	nan	nan	0.0	-1451.4778442382812
-2.614302444458139e-06	nan	0.0	nan	nan	0.0	-1191.4818115234375
-1.133415451049936e-06	nan	0.0	nan	nan	0.0	-1055.48388671875
-1.461574554444672e-07	nan	0.0	nan	nan	0.0	-992.4848480224609
-1.133415451049936e-06	nan	0.0	nan	nan	0.0	-1004.4846649169922
2.652000427244781e-07	nan	0.0	nan	nan	0.0	-1042.4840850830078
7.588290405272125e-07	nan	0.0	nan	nan	0.0	-1216.481430053711
-1.461574554444672e-07	nan	0.0	nan	nan	0.0	-899.4862670898438
-1.461574554444672e-07	nan	0.0	nan	nan	0.0	-1433.4781188964844
-6.397864532472017e-07	nan	0.0	nan	nan	0.0	-1125.4828186035156
2.652000427244781e-07	nan	0.0	nan	nan	0.0	-1147.4824829101562
2.652000427244781e-07	nan	0.0	nan	nan	0.0	-1395.4786987304688
1.2524580383299468e-06	nan	0.0	nan	nan	0.0	-1335.4796142578125
7.588290405272125e-07	nan	0.0	nan	nan	0.0	-1147.4824829101562
2.652000427244781e-07	nan	0.0	nan	nan	0.0	-1070.483657836914
-6.397864532472017e-07	nan	0.0	nan	nan	0.0	-1286.4803619384766
-1.133415451049936e-06	nan	0.0	nan	nan	0.0	-1153.4823913574219
7.588290405272125e-07	nan	0.0	nan	nan	0.0	-1094.4832916259766
-1.461574554444672e-07	nan	0.0	nan	nan	0.0	-993.4848327636719
-2.120673446655405e-06	nan	0.0	nan	nan	0.0	-1151.482421875
7.588290405272125e-07	nan	0.0	nan	nan	0.0	-1019.4844360351562
2.2397160339354157e-06	nan	0.0	nan	nan	0.0	-1015.4844970703125
2.2397160339354157e-06	nan	0.0	nan	nan	0.0	-1086.483413696289
1.2524580383299468e-06	nan	0.0	nan	nan	0.0	-1530.4766387939453
-2.120673446655405e-06	nan	0.0	nan	nan	0.0	-1177.4820251464844
-2.120673446655405e-06	nan	0.0	nan	nan	0.0	-1110.4830474853516
-1.133415451049936e-06	nan	0.0	nan	nan	0.0	-1258.4807891845703
-6.397864532472017e-07	nan	0.0	nan	nan	0.0	-1144.4825286865234
-1.6270444488526703e-06	nan	0.0	nan	nan	0.0	-1118.482925415039
-2.614302444458139e-06	nan	0.0	nan	nan	0.0	-1178.4820098876953
2.652000427244781e-07	nan	0.0	nan	nan	0.0	-1259.4807739257812
-1.461574554444672e-07	nan	0.0	nan	nan	0.0	-1098.4832305908203
2.652000427244781e-07	nan	0.0	nan	nan	0.0	-1088.483383178711
1.2524580383299468e-06	nan	0.0	nan	nan	0.0	-1205.4815979003906
2.652000427244781e-07	nan	0.0	nan	nan	0.0	-1275.4805297851562
-1.461574554444672e-07	nan	0.0	nan	nan	0.0	-1240.4810638427734
-1.6270444488526703e-06	nan	0.0	nan	nan	0.0	-1423.478271484375
-6.397864532472017e-07	nan	0.0	nan	nan	0.0	-1385.4788513183594
1.2524580383299468e-06	nan	0.0	nan	nan	0.0	-1314.4799346923828
-6.397864532472017e-07	nan	0.0	nan	nan	0.0	-1133.4826965332031
-1.133415451049936e-06	nan	0.0	nan	nan	0.0	-1592.4756927490234
-1.461574554444672e-07	nan	0.0	nan	nan	0.0	-1360.479232788086
-1.133415451049936e-06	nan	0.0	nan	nan	0.0	-1448.4778900146484
-1.133415451049936e-06	nan	0.0	nan	nan	0.0	-1185.4819030761719
-2.120673446655405e-06	nan	0.0	nan	nan	0.0	-1530.4766387939453
-3.1079314422608733e-06	nan	0.0	nan	nan	0.0	-1597.4756164550781
-6.397864532472017e-07	nan	0.0	nan	nan	0.0	-1249.4809265136719
2.652000427244781e-07	nan	0.0	nan	nan	0.0	-1165.4822082519531
-6.397864532472017e-07	nan	0.0	nan	nan	0.0	-1480.4774017333984
-6.397864532472017e-07	nan	0.0	nan	nan	0.0	-1624.4752044677734
-6.397864532472017e-07	nan	0.0	nan	nan	0.0	-1373.4790344238281
-1.461574554444672e-07	nan	0.0	nan	nan	0.0	-1166.482192993164
-6.397864532472017e-07	nan	0.0	nan	nan	0.0	-1380.4789276123047
-1.133415451049936e-06	nan	0.0	nan	nan	0.0	-1708.4739227294922
-1.461574554444672e-07	nan	0.0	nan	nan	0.0	-1806.472427368164
2.652000427244781e-07	nan	0.0	nan	nan	0.0	-1606.4754791259766
-6.397864532472017e-07	nan	0.0	nan	nan	0.0	-1598.475601196289
2.652000427244781e-07	nan	0.0	nan	nan	0.0	-1763.4730834960938
2.652000427244781e-07	nan	0.0	nan	nan	0.0	-1387.4788208007812
1.7460870361326812e-06	nan	0.0	nan	nan	0.0	-1325.4797668457031
2.2397160339354157e-06	nan	0.0	nan	nan	0.0	-1494.4771881103516
2.2397160339354157e-06	nan	0.0	nan	nan	0.0	-1523.4767456054688
1.2524580383299468e-06	nan	0.0	nan	nan	0.0	-1607.4754638671875
-1.461574554444672e-07	nan	0.0	nan	nan	0.0	-1603.4755249023438
-1.461574554444672e-07	nan	0.0	nan	nan	0.0	-1426.4782257080078
-6.397864532472017e-07	nan	0.0	nan	nan	0.0	-1481.4773864746094
-6.397864532472017e-07	nan	0.0	nan	nan	0.0	-1571.4760131835938
-1.133415451049936e-06	nan	0.0	nan	nan	0.0	-1531.4766235351562
-6.397864532472017e-07	nan	0.0	nan	nan	0.0	-1336.4795989990234
1.7460870361326812e-06	nan	0.0	nan	nan	0.0	-1418.4783477783203
3.7206030273436185e-06	nan	0.0	nan	nan	0.0	-1716.4738006591797
3.2269740295408842e-06	nan	0.0	nan	nan	0.0	-1592.4756927490234
3.7206030273436185e-06	nan	0.0	nan	nan	0.0	-1559.4761962890625
2.2397160339354157e-06	nan	0.0	nan	nan	0.0	-1596.4756317138672
1.7460870361326812e-06	nan	0.0	nan	nan	0.0	-1447.4779052734375
1.2524580383299468e-06	nan	0.0	nan	nan	0.0	-1576.4759368896484
-1.461574554444672e-07	nan	0.0	nan	nan	0.0	-1398.4786529541016
7.588290405272125e-07	nan	0.0	nan	nan	0.0	-1380.4789276123047
2.7333450317381504e-06	nan	0.0	nan	nan	0.0	-1467.4776000976562
2.652000427244781e-07	nan	0.0	nan	nan	0.0	-1715.4738159179688
1.2524580383299468e-06	nan	0.0	nan	nan	0.0	-1644.4748992919922
3.2269740295408842e-06	nan	0.0	nan	nan	0.0	-1564.4761199951172
2.2397160339354157e-06	nan	0.0	nan	nan	0.0	-1680.474349975586
2.652000427244781e-07	nan	0.0	nan	nan	0.0	-1655.4747314453125
7.588290405272125e-07	nan	0.0	nan	nan	0.0	-1810.4723663330078
1.7460870361326812e-06	nan	0.0	nan	nan	0.0	-1426.4782257080078
3.2269740295408842e-06	nan	0.0	nan	nan	0.0	-1656.4747161865234
2.2397160339354157e-06	nan	0.0	nan	nan	0.0	-1974.4698638916016
7.588290405272125e-07	nan	0.0	nan	nan	0.0	-1907.4708862304688
2.7333450317381504e-06	nan	0.0	nan	nan	0.0	-2013.4692687988281
2.2397160339354157e-06	nan	0.0	nan	nan	0.0	-1891.4711303710938
1.7460870361326812e-06	nan	0.0	nan	nan	0.0	-1683.4743041992188
2.2397160339354157e-06	nan	0.0	nan	nan	0.0	-1715.4738159179688
1.7460870361326812e-06	nan	0.0	nan	nan	0.0	-1445.4779357910156
2.7333450317381504e-06	nan	0.0	nan	nan	0.0	-1887.47119140625
2.7333450317381504e-06	nan	0.0	nan	nan	0.0	-2006.4693756103516
3.7206030273436185e-06	nan	0.0	nan	nan	0.0	-1694.474136352539
5.612847518920768e-06	nan	0.0	nan	nan	0.0	-1667.4745483398438
3.2269740295408842e-06	nan	0.0	nan	nan	0.0	-1671.4744873046875
1.2524580383299468e-06	nan	0.0	nan	nan	0.0	-1466.4776153564453
1.2524580383299468e-06	nan	0.0	nan	nan	0.0	-1962.4700469970703
2.7333450317381504e-06	nan	0.0	nan	nan	0.0	-1771.4729614257812
3.7206030273436185e-06	nan	0.0	nan	nan	0.0	-1790.472671508789
3.2269740295408842e-06	nan	0.0	nan	nan	0.0	-1792.472640991211
2.7333450317381504e-06	nan	0.0	nan	nan	0.0	-1659.4746704101562
3.2269740295408842e-06	nan	0.0	nan	nan	0.0	-1689.4742126464844
1.2524580383299468e-06	nan	0.0	nan	nan	0.0	-1819.4722290039062
1.7460870361326812e-06	nan	0.0	nan	nan	0.0	-1951.47021484375
3.2269740295408842e-06	nan	0.0	nan	nan	0.0	-1796.4725799560547
4.707861022949088e-06	nan	0.0	nan	nan	0.0	-2031.468994140625
3.2269740295408842e-06	nan	0.0	nan	nan	0.0	-1760.473129272461
2.7333450317381504e-06	nan	0.0	nan	nan	0.0	-1598.475601196289
7.588290405272125e-07	nan	0.0	nan	nan	0.0	-1438.478042602539
1.7460870361326812e-06	nan	0.0	nan	nan	0.0	-1615.475341796875
4.214232025146353e-06	nan	0.0	nan	nan	0.0	-2156.467086791992
3.7206030273436185e-06	nan	0.0	nan	nan	0.0	-1843.4718627929688
2.2397160339354157e-06	nan	0.0	nan	nan	0.0	-1550.476333618164
1.2524580383299468e-06	nan	0.0	nan	nan	0.0	-1624.4752044677734
1.2524580383299468e-06	nan	0.0	nan	nan	0.0	-1430.4781646728516
1.7460870361326812e-06	nan	0.0	nan	nan	0.0	-1837.4719543457031
4.214232025146353e-06	nan	0.0	nan	nan	0.0	-1731.4735717773438
5.119218521118032e-06	nan	0.0	nan	nan	0.0	-1730.4735870361328
4.214232025146353e-06	nan	0.0	nan	nan	0.0	-1424.478256225586
