LNEC Test File eXtractor

File: tune_cutoff_10Hz.acq

Created in: 2026-02-20 14:34:37.280183

Number of channels: 7

Name:	PosA1T	PosA2L	PosA3V	accT	accL	accV	SV2
Type:							
Unit:	m	m	m	m/s^2	m/s^2	m/s^2	bits
No. of Samples:	8982	8982	8982	8982	8982	8982	8982
Time step [s]:	0.005	0.005	0.005	0.005	0.005	0.005	0.005
Trigger date:	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01
Trigger time:	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000
Duration [s]:	44.905	44.905	44.905	44.905	44.905	44.905	44.905
Data:
PosA1T	PosA2L	PosA3V	accT	accL	accV	SV2
-1.1827768707274667e-06	nan	0.0	nan	nan	0.0	-1544.1023743599656
-1.6518805694579356e-06	nan	0.0	nan	nan	0.0	-1562.6918058134618
3.418101501465566e-07	nan	0.0	nan	nan	0.0	-1496.026258531958
3.418101501465566e-07	nan	0.0	nan	nan	0.0	-1579.3581926338377
-1.1827768707274667e-06	nan	0.0	nan	nan	0.0	-1512.0516304746272
-1.1827768707274667e-06	nan	0.0	nan	nan	0.0	-1575.512103367597
-1.2729354858391212e-07	nan	0.0	nan	nan	0.0	-1578.0761628784242
3.418101501465566e-07	nan	0.0	nan	nan	0.0	-1290.901497665793
-2.120984268188404e-06	nan	0.0	nan	nan	0.0	-1596.6655943319204
-1.6518805694579356e-06	nan	0.0	nan	nan	0.0	-1642.8186655268075
-1.1827768707274667e-06	nan	0.0	nan	nan	0.0	-1715.8943615853789
8.109138488770253e-07	nan	0.0	nan	nan	0.0	-1505.0004668198528
8.109138488770253e-07	nan	0.0	nan	nan	0.0	-1640.2546060159805
1.7491212463379629e-06	nan	0.0	nan	nan	0.0	-1801.7903551980855
1.7491212463379629e-06	nan	0.0	nan	nan	0.0	-1595.3835645765068
1.7491212463379629e-06	nan	0.0	nan	nan	0.0	-1769.7396113127472
-1.2729354858391212e-07	nan	0.0	nan	nan	0.0	-1374.8744466453793
-1.1827768707274667e-06	nan	0.0	nan	nan	0.0	-1871.660976868123
-1.2729354858391212e-07	nan	0.0	nan	nan	0.0	-1693.458840865642
-7.13673171996998e-07	nan	0.0	nan	nan	0.0	-1473.5907378122213
-1.2729354858391212e-07	nan	0.0	nan	nan	0.0	-1526.153957784176
-1.2729354858391212e-07	nan	0.0	nan	nan	0.0	-1442.1810088045897
3.418101501465566e-07	nan	0.0	nan	nan	0.0	-1380.0025656670334
-1.1827768707274667e-06	nan	0.0	nan	nan	0.0	-1615.8960406631234
-7.13673171996998e-07	nan	0.0	nan	nan	0.0	-1624.2292340733113
1.2800175476074942e-06	nan	0.0	nan	nan	0.0	-1872.9430066235366
3.418101501465566e-07	nan	0.0	nan	nan	0.0	-1392.8228632211687
3.418101501465566e-07	nan	0.0	nan	nan	0.0	-1406.2841756530108
-1.1827768707274667e-06	nan	0.0	nan	nan	0.0	-1326.7983308173718
-2.5900879669188734e-06	nan	0.0	nan	nan	0.0	-1594.7425496988
-2.120984268188404e-06	nan	0.0	nan	nan	0.0	-1724.2275549955668
-1.1827768707274667e-06	nan	0.0	nan	nan	0.0	-1717.8174062184992
-7.13673171996998e-07	nan	0.0	nan	nan	0.0	-1472.9497229345145
-7.13673171996998e-07	nan	0.0	nan	nan	0.0	-1391.5408334657552
8.109138488770253e-07	nan	0.0	nan	nan	0.0	-1623.5882191956046
3.418101501465566e-07	nan	0.0	nan	nan	0.0	-1664.6131713688376
3.418101501465566e-07	nan	0.0	nan	nan	0.0	-1500.5133626759055
1.7491212463379629e-06	nan	0.0	nan	nan	0.0	-1631.9214126057925
8.109138488770253e-07	nan	0.0	nan	nan	0.0	-1718.458421096206
3.418101501465566e-07	nan	0.0	nan	nan	0.0	-1396.0279376097026
8.109138488770253e-07	nan	0.0	nan	nan	0.0	-1327.4393456950786
-1.2729354858391212e-07	nan	0.0	nan	nan	0.0	-1644.7417101599278
8.109138488770253e-07	nan	0.0	nan	nan	0.0	-1344.1057325154545
-7.13673171996998e-07	nan	0.0	nan	nan	0.0	-1393.4638780988755
-1.6518805694579356e-06	nan	0.0	nan	nan	0.0	-1602.4347282312813
-1.2729354858391212e-07	nan	0.0	nan	nan	0.0	-1540.256285093725
1.2800175476074942e-06	nan	0.0	nan	nan	0.0	-1397.309967365116
8.109138488770253e-07	nan	0.0	nan	nan	0.0	-1349.8748664148154
3.418101501465566e-07	nan	0.0	nan	nan	0.0	-1331.926449839026
