LNEC Test File eXtractor

File: tune_cutoff_20hz.acq

Created in: 2026-02-25 18:46:03.634449

Number of channels: 7

Name:	PosA1T	PosA2L	PosA3V	accT	accL	accV	SV2
Type:							
Unit:	m	m	m	m/s^2	m/s^2	m/s^2	bits
No. of Samples:	8982	8982	8982	8982	8982	8982	8982
Time step [s]:	0.005	0.005	0.005	0.005	0.005	0.005	0.005
Trigger date:	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01
Trigger time:	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000
Duration [s]:	44.905	44.905	44.905	44.905	44.905	44.905	44.905
Data:
PosA1T	PosA2L	PosA3V	accT	accL	accV	SV2
2.236659622192157e-06	nan	0.0	nan	nan	0.0	-997.8720748447818
1.300228347778094e-06	nan	0.0	nan	nan	0.0	-1022.5293180551384
2.4674316406227374e-07	nan	0.0	nan	nan	0.0	-907.2400457472545
-1.1579037475588204e-06	nan	0.0	nan	nan	0.0	-1210.4574960367759
-1.6261193847658514e-06	nan	0.0	nan	nan	0.0	-823.2721364363102
-6.896881103517889e-07	nan	0.0	nan	nan	0.0	-1231.1162673751828
1.300228347778094e-06	nan	0.0	nan	nan	0.0	-1064.5132727106106
8.320127105710628e-07	nan	0.0	nan	nan	0.0	-1600.974915530533
2.4674316406227374e-07	nan	0.0	nan	nan	0.0	-869.254562963732
1.300228347778094e-06	nan	0.0	nan	nan	0.0	-1428.3742130580363
-6.896881103517889e-07	nan	0.0	nan	nan	0.0	-876.5850947289732
-1.1579037475588204e-06	nan	0.0	nan	nan	0.0	-1358.400955298916
2.4674316406227374e-07	nan	0.0	nan	nan	0.0	-1163.8086575306957
1.7684439849851255e-06	nan	0.0	nan	nan	0.0	-1081.8399841557261
1.300228347778094e-06	nan	0.0	nan	nan	0.0	-1636.9611623780806
-1.6261193847658514e-06	nan	0.0	nan	nan	0.0	-1171.8056012745951
-2.2147247314475754e-07	nan	0.0	nan	nan	0.0	-1368.3971349787903
1.300228347778094e-06	nan	0.0	nan	nan	0.0	-1017.1980222258721
1.300228347778094e-06	nan	0.0	nan	nan	0.0	-1345.7391277044085
8.320127105710628e-07	nan	0.0	nan	nan	0.0	-1102.498755494133
-2.2147247314475754e-07	nan	0.0	nan	nan	0.0	-1019.8636701405053
-6.896881103517889e-07	nan	0.0	nan	nan	0.0	-1277.0986939026047
-6.896881103517889e-07	nan	0.0	nan	nan	0.0	-1299.0902891983283
-1.6261193847658514e-06	nan	0.0	nan	nan	0.0	-1021.1964940978219
-1.1579037475588204e-06	nan	0.0	nan	nan	0.0	-1343.7398917684336
-1.6261193847658514e-06	nan	0.0	nan	nan	0.0	-1381.725374551956
2.4674316406227374e-07	nan	0.0	nan	nan	0.0	-957.8873561252844
1.300228347778094e-06	nan	0.0	nan	nan	0.0	-1096.5010476862085
-2.2147247314475754e-07	nan	0.0	nan	nan	0.0	-1090.503339878284
2.4674316406227374e-07	nan	0.0	nan	nan	0.0	-1071.1773924971935
-2.2147247314475754e-07	nan	0.0	nan	nan	0.0	-1030.526261799038
-1.1579037475588204e-06	nan	0.0	nan	nan	0.0	-995.8728389088069
