LNEC Test File eXtractor

File: pink_noise_40Hz_T3mm_0.drv

Created in: 2025-11-11 13:29:00.622091

Number of channels: 3

Name:	PosA1T	PosA3L	PosA2V
Type:			
Unit:	m	m	m
No. of Samples:	32768	32768	32768
Time step [s]:	0.005	0.005	0.005
Trigger date:	1970-01-01	1970-01-01	1970-01-01
Trigger time:	00:00:00.000000	00:00:00.000000	00:00:00.000000
Duration [s]:	163.835	163.835	163.835
Data:
PosA1T	PosA3L	PosA2V
3.6447364954317034e-07	3.6447364954317034e-07	3.6447364954317034e-07
3.6447364954317034e-07	3.6447364954317034e-07	3.6447364954317034e-07
3.6447364954317034e-07	3.6447364954317034e-07	3.6447364954317034e-07
3.6447364954317034e-07	3.6447364954317034e-07	3.6447364954317034e-07
3.6447364954317034e-07	3.6447364954317034e-07	3.6447364954317034e-07
3.6447364954317034e-07	3.6447364954317034e-07	3.6447364954317034e-07
3.6447364954317034e-07	3.6447364954317034e-07	3.6447364954317034e-07
3.6447364954317034e-07	3.6447364954317034e-07	3.6447364954317034e-07
3.6447364954317034e-07	3.6447364954317034e-07	3.6447364954317034e-07
3.6447364954317034e-07	3.6447364954317034e-07	3.6447364954317034e-07
3.6447364954317034e-07	3.6447364954317034e-07	3.6447364954317034e-07
3.6447364954317034e-07	3.6447364954317034e-07	3.6447364954317034e-07
3.6447364954317034e-07	3.6447364954317034e-07	3.6447364954317034e-07
3.6447364954317034e-07	3.6447364954317034e-07	3.6447364954317034e-07
3.6447364954317034e-07	3.6447364954317034e-07	3.6447364954317034e-07
3.6447364954317034e-07	3.6447364954317034e-07	3.6447364954317034e-07
3.6447364954317034e-07	3.6447364954317034e-07	3.6447364954317034e-07
3.6447364954317034e-07	3.6447364954317034e-07	3.6447364954317034e-07
3.6447364954317034e-07	3.6447364954317034e-07	3.6447364954317034e-07
3.6447364954317034e-07	3.6447364954317034e-07	3.6447364954317034e-07
4.7197399689797404e-07	4.7197399689797404e-07	4.7197399689797404e-07
4.7197399689797404e-07	4.7197399689797404e-07	4.7197399689797404e-07
4.7197399689797404e-07	4.7197399689797404e-07	4.7197399689797404e-07
3.6447364954317034e-07	3.6447364954317034e-07	3.6447364954317034e-07
4.7197399689797404e-07	4.7197399689797404e-07	4.7197399689797404e-07
5.794743442527778e-07	5.794743442527778e-07	5.794743442527778e-07
4.7197399689797404e-07	4.7197399689797404e-07	4.7197399689797404e-07
4.7197399689797404e-07	4.7197399689797404e-07	4.7197399689797404e-07
5.794743442527778e-07	5.794743442527778e-07	5.794743442527778e-07
4.7197399689797404e-07	4.7197399689797404e-07	4.7197399689797404e-07
6.869746916075815e-07	6.869746916075815e-07	6.869746916075815e-07
6.869746916075815e-07	6.869746916075815e-07	6.869746916075815e-07
5.794743442527778e-07	5.794743442527778e-07	5.794743442527778e-07
6.869746916075815e-07	6.869746916075815e-07	6.869746916075815e-07
6.869746916075815e-07	6.869746916075815e-07	6.869746916075815e-07
5.794743442527778e-07	5.794743442527778e-07	5.794743442527778e-07
2.5697330218836654e-07	2.5697330218836654e-07	2.5697330218836654e-07
6.869746916075815e-07	6.869746916075815e-07	6.869746916075815e-07
5.794743442527778e-07	5.794743442527778e-07	5.794743442527778e-07
5.794743442527778e-07	5.794743442527778e-07	5.794743442527778e-07
5.794743442527778e-07	5.794743442527778e-07	5.794743442527778e-07
3.6447364954317034e-07	3.6447364954317034e-07	3.6447364954317034e-07
5.794743442527778e-07	5.794743442527778e-07	5.794743442527778e-07
5.794743442527778e-07	5.794743442527778e-07	5.794743442527778e-07
2.5697330218836654e-07	2.5697330218836654e-07	2.5697330218836654e-07
6.869746916075815e-07	6.869746916075815e-07	6.869746916075815e-07
3.6447364954317034e-07	3.6447364954317034e-07	3.6447364954317034e-07
7.944750389623853e-07	7.944750389623853e-07	7.944750389623853e-07
6.869746916075815e-07	6.869746916075815e-07	6.869746916075815e-07
9.01975386317189e-07	9.01975386317189e-07	9.01975386317189e-07
1.494729548335628e-07	1.494729548335628e-07	1.494729548335628e-07
7.944750389623853e-07	7.944750389623853e-07	7.944750389623853e-07
6.869746916075815e-07	6.869746916075815e-07	6.869746916075815e-07
2.5697330218836654e-07	2.5697330218836654e-07	2.5697330218836654e-07
6.869746916075815e-07	6.869746916075815e-07	6.869746916075815e-07
