LNEC Test File eXtractor

File: pink_noise_40Hz_T3mm_0_P1_I10.acq

Created in: 2026-04-22 10:42:33.146663

Number of channels: 7

Name:	PosA1T	PosA2L	PosA3V	accT	accL	accV	SV2
Type:							
Unit:	m	m	m	m/s^2	m/s^2	m/s^2	bits
No. of Samples:	32703	32703	32703	32703	32703	32703	32703
Time step [s]:	0.005	0.005	0.005	0.005	0.005	0.005	0.005
Trigger date:	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01
Trigger time:	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000
Duration [s]:	163.51	163.51	163.51	163.51	163.51	163.51	163.51
Data:
PosA1T	PosA2L	PosA3V	accT	accL	accV	SV2
1.7630490112302897e-06	nan	0.0	nan	nan	0.0	-1241.2262877789326
1.7630490112302897e-06	nan	0.0	nan	nan	0.0	-1300.0872382600792
-1.6569055175783045e-06	nan	0.0	nan	nan	0.0	-1276.2831774037331
-3.564187850952328e-06	nan	0.0	nan	nan	0.0	-1277.5815807231702
-1.6569055175783045e-06	nan	0.0	nan	nan	0.0	-1292.2968183434568
-6.703801727296716e-07	nan	0.0	nan	nan	0.0	-1243.3902933113277
-6.703801727296716e-07	nan	0.0	nan	nan	0.0	-1238.6294811400585
-1.6569055175783045e-06	nan	0.0	nan	nan	0.0	-1297.923232727684
-2.577662506103695e-06	nan	0.0	nan	nan	0.0	-1324.3241002229042
-6.703801727296716e-07	nan	0.0	nan	nan	0.0	-1273.25356965838
7.765236663816568e-07	nan	0.0	nan	nan	0.0	-1265.4631497417577
-2.1000167846697615e-07	nan	0.0	nan	nan	0.0	-1304.4152493248694
-1.1307586669923669e-06	nan	0.0	nan	nan	0.0	-1260.2695364640094
-1.6569055175783045e-06	nan	0.0	nan	nan	0.0	-1280.6111884685233
-1.6569055175783045e-06	nan	0.0	nan	nan	0.0	-1311.3400670285337
-6.703801727296716e-07	nan	0.0	nan	nan	0.0	-1256.3743265056983
7.765236663816568e-07	nan	0.0	nan	nan	0.0	-1258.9711331445724
-2.1172840118409997e-06	nan	0.0	nan	nan	0.0	-1281.9095917879604
-2.1172840118409997e-06	nan	0.0	nan	nan	0.0	-1320.428890264593
3.1614517211896143e-07	nan	0.0	nan	nan	0.0	-1271.955166338943
1.3026705169675943e-06	nan	0.0	nan	nan	0.0	-1302.6840448989533
7.765236663816568e-07	nan	0.0	nan	nan	0.0	-1283.2079951073974
-2.1000167846697615e-07	nan	0.0	nan	nan	0.0	-1326.4881057552993
-2.1000167846697615e-07	nan	0.0	nan	nan	0.0	-1274.119171871338
-2.1000167846697615e-07	nan	0.0	nan	nan	0.0	-1266.3287519547157
-1.6569055175783045e-06	nan	0.0	nan	nan	0.0	-1265.8959508482367
-2.577662506103695e-06	nan	0.0	nan	nan	0.0	-1358.0825865282677
-3.1038093566896325e-06	nan	0.0	nan	nan	0.0	-1274.119171871338
-2.1000167846697615e-07	nan	0.0	nan	nan	0.0	-1290.5656139175408
-2.1000167846697615e-07	nan	0.0	nan	nan	0.0	-1287.5360061721876
-1.6569055175783045e-06	nan	0.0	nan	nan	0.0	-1311.7728681350127
-2.1172840118409997e-06	nan	0.0	nan	nan	0.0	-1362.410597593058
-1.1307586669923669e-06	nan	0.0	nan	nan	0.0	-1334.7113267784007
-2.1000167846697615e-07	nan	0.0	nan	nan	0.0	-1318.264884732198
-1.1307586669923669e-06	nan	0.0	nan	nan	0.0	-1272.387967445422
-1.1307586669923669e-06	nan	0.0	nan	nan	0.0	-1321.7272935840301
-6.703801727296716e-07	nan	0.0	nan	nan	0.0	-1342.501746695023
1.7630490112302897e-06	nan	0.0	nan	nan	0.0	-1349.8593655051664
3.1614517211896143e-07	nan	0.0	nan	nan	0.0	-1301.8184426859953
-1.6569055175783045e-06	nan	0.0	nan	nan	0.0	-1329.9505146071315
-1.6569055175783045e-06	nan	0.0	nan	nan	0.0	-1320.861691371072
-1.1307586669923669e-06	nan	0.0	nan	nan	0.0	-1327.3537079682574
-1.6569055175783045e-06	nan	0.0	nan	nan	0.0	-1334.7113267784007
-1.6569055175783045e-06	nan	0.0	nan	nan	0.0	-1330.8161168200895
-6.703801727296716e-07	nan	0.0	nan	nan	0.0	-1316.1008791998029
-1.1307586669923669e-06	nan	0.0	nan	nan	0.0	-1329.9505146071315
-2.1172840118409997e-06	nan	0.0	nan	nan	0.0	-1330.3833157136105
-6.703801727296716e-07	nan	0.0	nan	nan	0.0	-1300.9528404730372
1.3026705169675943e-06	nan	0.0	nan	nan	0.0	-1376.2602330003865
-2.1000167846697615e-07	nan	0.0	nan	nan	0.0	-1319.996089158114
-1.6569055175783045e-06	nan	0.0	nan	nan	0.0	-1360.6793931671418
-2.1000167846697615e-07	nan	0.0	nan	nan	0.0	-1317.39928251924
7.765236663816568e-07	nan	0.0	nan	nan	0.0	-1348.9937632922083
7.765236663816568e-07	nan	0.0	nan	nan	0.0	-1356.3513821023516
-2.1000167846697615e-07	nan	0.0	nan	nan	0.0	-1352.8889732505195
3.1614517211896143e-07	nan	0.0	nan	nan	0.0	-1341.203343375586
7.765236663816568e-07	nan	0.0	nan	nan	0.0	-1363.276199806016
-6.703801727296716e-07	nan	0.0	nan	nan	0.0	-1391.4082717271522
-6.703801727296716e-07	nan	0.0	nan	nan	0.0	-1369.7682164032012
7.765236663816568e-07	nan	0.0	nan	nan	0.0	-1371.0666197226383
1.7630490112302897e-06	nan	0.0	nan	nan	0.0	-1366.305807551369
-2.1000167846697615e-07	nan	0.0	nan	nan	0.0	-1416.0779347964562
-1.1307586669923669e-06	nan	0.0	nan	nan	0.0	-1392.2738739401102
-6.703801727296716e-07	nan	0.0	nan	nan	0.0	-1346.3969566533342
-1.1307586669923669e-06	nan	0.0	nan	nan	0.0	-1326.0553046488203
-1.6569055175783045e-06	nan	0.0	nan	nan	0.0	-1415.2123325834982
