LNEC Test File eXtractor

File: sineSweep_A=4_f=10e-4to40_CosTaper5percent_0.drv

Created in: 2026-01-07 17:30:06.402507

Number of channels: 3

Name:	PosA1T	PosA2V	PosA3L
Type:			
Unit:	m	m	m
No. of Samples:	7192	7192	7192
Time step [s]:	0.005	0.005	0.005
Trigger date:	1970-01-01	1970-01-01	1970-01-01
Trigger time:	00:00:00.000000	00:00:00.000000	00:00:00.000000
Duration [s]:	35.955	35.955	35.955
Data:
PosA1T	PosA2V	PosA3L
2.0017458381685302e-11	2.0017458381685302e-11	2.0017458381685302e-11
2.0017458381685302e-11	2.0017458381685302e-11	2.0017458381685302e-11
2.0017458381685302e-11	2.0017458381685302e-11	2.0017458381685302e-11
2.0017458381685302e-11	2.0017458381685302e-11	2.0017458381685302e-11
2.0017458381685302e-11	2.0017458381685302e-11	2.0017458381685302e-11
2.0017458381685302e-11	2.0017458381685302e-11	2.0017458381685302e-11
2.0017458381685302e-11	2.0017458381685302e-11	2.0017458381685302e-11
1.220903154815561e-07	1.220903154815561e-07	1.220903154815561e-07
1.220903154815561e-07	1.220903154815561e-07	1.220903154815561e-07
1.220903154815561e-07	1.220903154815561e-07	1.220903154815561e-07
2.441606135047305e-07	2.441606135047305e-07	2.441606135047305e-07
3.662309115279049e-07	3.662309115279049e-07	3.662309115279049e-07
6.103715075742537e-07	6.103715075742537e-07	6.103715075742537e-07
7.324418055974281e-07	7.324418055974281e-07	7.324418055974281e-07
9.76582401643777e-07	9.76582401643777e-07	9.76582401643777e-07
1.3427932957133002e-06	1.3427932957133002e-06	1.3427932957133002e-06
1.7090041897828235e-06	1.7090041897828235e-06	1.7090041897828235e-06
2.197285381875521e-06	2.197285381875521e-06	2.197285381875521e-06
2.807636871991393e-06	2.807636871991393e-06	2.807636871991393e-06
3.5400586601304394e-06	3.5400586601304394e-06	3.5400586601304394e-06
4.2724804482694865e-06	4.2724804482694865e-06	4.2724804482694865e-06
5.126972534431707e-06	5.126972534431707e-06	5.126972534431707e-06
6.225605216640277e-06	6.225605216640277e-06	6.225605216640277e-06
7.44630819687202e-06	7.44630819687202e-06	7.44630819687202e-06
8.789081475126938e-06	8.789081475126938e-06	8.789081475126938e-06
1.0375995349428206e-05	1.0375995349428206e-05	1.0375995349428206e-05
1.2084979521752647e-05	1.2084979521752647e-05	1.2084979521752647e-05
1.403810429012344e-05	1.403810429012344e-05	1.403810429012344e-05
1.623536965454058e-05	1.623536965454058e-05	1.623536965454058e-05
1.8676775615004066e-05	1.8676775615004066e-05	1.8676775615004066e-05
2.1362322171513903e-05	2.1362322171513903e-05	2.1362322171513903e-05
2.4292009324070088e-05	2.4292009324070088e-05	2.4292009324070088e-05
2.7465837072672623e-05	2.7465837072672623e-05	2.7465837072672623e-05
3.100587571534468e-05	3.100587571534468e-05	3.100587571534468e-05
3.4912125252086264e-05	3.4912125252086264e-05	3.4912125252086264e-05
3.9062515384874195e-05	3.9062515384874195e-05	3.9062515384874195e-05
4.370118670975482e-05	4.370118670975482e-05	4.370118670975482e-05
4.8583998630681795e-05	4.8583998630681795e-05	4.8583998630681795e-05
5.395509174370147e-05	5.395509174370147e-05	5.395509174370147e-05
5.969239575079067e-05	5.969239575079067e-05	5.969239575079067e-05
6.591798094997256e-05	6.591798094997256e-05	6.591798094997256e-05
7.263184734124715e-05	7.263184734124715e-05	7.263184734124715e-05
7.971192462659127e-05	7.971192462659127e-05	7.971192462659127e-05
8.740235340205126e-05	8.740235340205126e-05	8.740235340205126e-05
9.558106336960394e-05	9.558106336960394e-05	9.558106336960394e-05
0.00010424805452924932	0.00010424805452924932	0.00010424805452924932
0.00011352539717901058	0.00011352539717901058	0.00011352539717901058
0.0001234130913188877	0.0001234130913188877	0.0001234130913188877
0.0001337890666508575	0.0001337890666508575	0.0001337890666508575
0.0001448974637709664	0.0001448974637709664	0.0001448974637709664
0.00015649414208316798	0.00015649414208316798	0.00015649414208316798
